Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
1,19703,1,Mark,Bailey,754,0,754,Excluded,1,Green Party
1,7132,1,Roy,Beggs,3549,0,3549,,,Ulster Unionist Party
1,68115,1,Norman,Boyd,3661,0,3661,,,Traditional Unionist Voice
1,4591,1,Stewart,Dickson,5059,0,5059,,,Alliance Party
1,9805,1,Danny,Donnelly,4224,0,4224,,,Alliance Party
1,11447,1,David,Hilditch,5662,0,5662,,,Democratic Unionist Party
1,11448,1,Gordon,Lyons,6256,0,6256,,,Democratic Unionist Party
1,84799,1,Siobhán,McAlister,1200,0,1200,Excluded,1,Social Democratic and Labour Party
1,1061,1,Oliver,McMullan,3675,0,3675,,,Sinn Fein
1,8121,1,John,Stewart,6195,0,6195,,,Ulster Unionist Party
1,19703,2,Mark,Bailey,754,0,754,Excluded,1,Green Party
1,7132,2,Roy,Beggs,3549,85,3634,Excluded,2,Ulster Unionist Party
1,68115,2,Norman,Boyd,3661,38,3699,,,Traditional Unionist Voice
1,4591,2,Stewart,Dickson,5059,584,5643,,,Alliance Party
1,9805,2,Danny,Donnelly,4224,535,4759,,,Alliance Party
1,11447,2,David,Hilditch,5662,28,5690,,,Democratic Unionist Party
1,11448,2,Gordon,Lyons,6256,25,6281,,,Democratic Unionist Party
1,84799,2,Siobhán,McAlister,1200,0,1200,Excluded,1,Social Democratic and Labour Party
1,1061,2,Oliver,McMullan,3675,479,4154,,,Sinn Fein
1,8121,2,John,Stewart,6195,72,6267,,,Ulster Unionist Party
